,Gammaproteobacteria: Shewanella sp. ANA-3,Betaproteobacteria: Burkholderia phytofirmans PsJN,Actinobacteria: Bifidobacterium breve UCC2003,Alphaproteobacteria: Brevundimonas sp. GW460-12-10-14-LB2,Bacteroidetes: Bacteroides thetaiotaomicron VPI-5482,Betaproteobacteria: Paraburkholderia bryophila 376MFSha3.1,Betaproteobacteria: Paraburkholderia graminis OAS925,Bacteroidetes: Phocaeicola vulgatus CL09T03C04,Betaproteobacteria: Ralstonia sp. UNC404CL21Col,Alphaproteobacteria: Caulobacter crescentus NA1000,"Bacteroidetes: Echinicola vietnamensis KMM 6221, DSM 17526",Betaproteobacteria: Cupriavidus basilensis FW507-4G11,Gammaproteobacteria: Dickeya dadantii 3937,Gammaproteobacteria: Dickeya dianthicola 67-19,Gammaproteobacteria: Dickeya dianthicola ME23,Alphaproteobacteria: Dinoroseobacter shibae DFL-12,Deltaproteobacteria: Desulfovibrio vulgaris Hildenborough JW710,Gammaproteobacteria: Dyella japonica UNC79MFTsu3.2,Betaproteobacteria: Herbaspirillum seropedicae SmR1,Gammaproteobacteria: Kangiella aquimarina DSM 16071,Gammaproteobacteria: Escherichia coli BW25113,Alphaproteobacteria: Sphingomonas koreensis DSMZ 15582,Gammaproteobacteria: Klebsiella michiganensis M5al,Gammaproteobacteria: Lysobacter sp. OAE881,Gammaproteobacteria: Shewanella oneidensis MR-1,Alphaproteobacteria: Magnetospirillum magneticum AMB-1,Gammaproteobacteria: Marinobacter adhaerens HP15,Euryarchaeota: Methanococcus maripaludis JJ,Euryarchaeota: Methanococcus maripaludis S2,Deltaproteobacteria: Desulfovibrio vulgaris Miyazaki F,Betaproteobacteria: Dechlorosoma suillum PS,Gammaproteobacteria: Shewanella loihica PV-4,Bacteroidetes: Pedobacter sp. GW460-11-11-14-LB5,Alphaproteobacteria: Phaeobacter inhibens DSM 17395,"Bacteroidetes: Pontibacter actiniarum KMM 6156, DSM 19842",Gammaproteobacteria: Pseudomonas putida KT2440,Betaproteobacteria: Ralstonia solanacearum IBSBF1503,Betaproteobacteria: Ralstonia solanacearum GMI1000,Betaproteobacteria: Ralstonia solanacearum PSI07,Betaproteobacteria: Ralstonia solanacearum UW163,Gammaproteobacteria: Shewanella amazonensis SB2B,Alphaproteobacteria: Sinorhizobium meliloti 1021,Cyanobacteria: Synechococcus elongatus PCC 7942,Gammaproteobacteria: Pseudomonas syringae pv. syringae B728a,Gammaproteobacteria: Pseudomonas syringae pv. syringae B728a &Delta;mexB,Betaproteobacteria: Variovorax sp. OAS795,Gammaproteobacteria: Pseudomonas simiae WCS417,Gammaproteobacteria: Xanthomonas campestris pv. campestris strain 8004,Betaproteobacteria: Acidovorax sp. GW101-3H11,Alphaproteobacteria: Azospirillum brasilense Sp245,Gammaproteobacteria: Pseudomonas stutzeri RCH2,Gammaproteobacteria: Pseudomonas fluorescens GW456-L13,Gammaproteobacteria: Pseudomonas fluorescens FW300-N1B4,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2E3,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2C3,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2E2,Gammaproteobacteria: Rhodanobacter denitrificans FW104-10B01
ISOThrive-prebiotic lot C,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISOThrive-prebiotic lot D,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaconic Acid,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Alanine,Growth,Growth,,,,Growth,Growth,,,Growth,No Growth,Growth,,,,No Growth,,Growth,No Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,Growth,No Growth,,,,Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Arabinose,Growth,Growth,,,Growth,Growth,Growth,,,No Growth,Growth,No Growth,,,,No Growth,,No Growth,Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,No Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,No Growth,No Growth,Growth,Growth,No Growth,Growth,Growth,
L-Arginine,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,Growth,,,,No Growth,No Growth,No Growth,Growth,,Growth,,,,,No Growth,Growth,,,,,Growth,,No Growth,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,
L-Asparagine,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,Growth,Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Aspartic Acid,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,No Growth,
L-Citrulline,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,No Growth,,,,,Growth,,No Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,No Growth,
L-Cysteine hydrochloride monohydrate,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,Growth,No Growth,No Growth,Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,Growth,No Growth,Growth,Growth,No Growth,Growth,No Growth,No Growth,
L-Fucose,No Growth,Growth,Growth,,Growth,Growth,Growth,Growth,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Glutamic acid monopotassium salt monohydrate,Growth,,,,,Growth,Growth,,,Growth,No Growth,Growth,,,,Growth,,Growth,Growth,Growth,No Growth,Growth,,,No Growth,,Growth,,,,Growth,No Growth,No Growth,Growth,,Growth,,,,,Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth
L-Glutamine,Growth,Growth,,,,Growth,Growth,,,Growth,No Growth,Growth,,,,Growth,,No Growth,Growth,Growth,No Growth,Growth,Growth,Growth,Growth,,No Growth,,,,No Growth,Growth,No Growth,Growth,,,,,,,Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Histidine,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,Growth,Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,
L-Isoleucine,Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,Growth,,,,,Growth,,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Leucine,Growth,,,,,No Growth,,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Lysine,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,No Growth,
L-Malic acid disodium salt monohydrate,Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,Growth,,Growth,Growth,Growth,Growth,No Growth,Growth,Growth,No Growth,,Growth,,,,Growth,Growth,No Growth,Growth,,,,,,,Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Methionine,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Ornithine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Phenylalanine,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,
L-Proline,No Growth,Growth,,,,Growth,Growth,,,Growth,No Growth,Growth,,,,No Growth,,Growth,Growth,Growth,No Growth,No Growth,,,No Growth,,Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
L-Rhamnose monohydrate,No Growth,Growth,,,Growth,Growth,Growth,,,No Growth,Growth,No Growth,,,,Growth,,No Growth,Growth,Growth,No Growth,Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Serine,Growth,,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,Growth,No Growth,No Growth,No Growth,Growth,,,,,,,Growth,Growth,,,,,No Growth,,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,
L-Sorbose,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Threonine,Growth,,,,,No Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,No Growth,,,,Growth,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Tryptophan,No Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,Growth,No Growth,Growth,No Growth,No Growth,
L-tyrosine disodium salt,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
L-Valine,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,Growth,,,,,No Growth,No Growth,,,,,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
Lactitol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacto-N-neotetraose,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacto-N-tetraose,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactulose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laminaribiose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laminarin from Laminaria digitata,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauric acid,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Levan - from Erwinia herbicola,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levulinic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
m-Inositol,No Growth,Growth,,,,Growth,Growth,,,Growth,No Growth,No Growth,,,,Growth,,No Growth,Growth,Growth,No Growth,No Growth,Growth,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,Growth,,,,,Growth,,No Growth,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,
Malonic acid,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltitol,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltodextrin,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltohexaose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltotetraose,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannan from Saccharomyces cerevisiae,,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melibiose,,,Growth,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl-B-D-galactopyranoside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myristic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
N-Acetyl-D-Glucosamine,Growth,Growth,,,Growth,Growth,,,,Growth,No Growth,No Growth,,,,No Growth,,Growth,Growth,Growth,Growth,Growth,,,Growth,,No Growth,,,,No Growth,Growth,Growth,Growth,,,,,,,Growth,Growth,,,,,Growth,,No Growth,No Growth,No Growth,Growth,No Growth,Growth,Growth,No Growth,Growth
Nonanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Octanoic acid,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Oleic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
p-Coumaric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
palatinose hydrate,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parabanic Acid,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Pectin,,,Growth,,Growth,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenylacetic acid,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Pimelic acid,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polygalacturonic acid,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potassium acetate,Growth,,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,Growth,Growth,,Growth,,,,Growth,Growth,No Growth,Growth,,Growth,,,,,Growth,No Growth,,,,Growth,Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,Growth,No Growth,Growth
Potassium oxalate monohydrate,No Growth,,,,,No Growth,,,,No Growth,No Growth,No Growth,,,,Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,Growth,,,,,,,No Growth,No Growth,,,,,No Growth,,No Growth,Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
Prebiotin-prebiotic,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreticX-prebiotic,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promitor-fiber,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocatechuic Acid,,Growth,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
Putrescine Dihydrochloride,Growth,Growth,,,,Growth,,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,Growth,No Growth,,,,,Growth,,No Growth,No Growth,No Growth,Growth,Growth,Growth,Growth,Growth,
Red Arabinan from sugar-beet,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnogalacturonan - from potato,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebacic acid,,Growth,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikimic Acid,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium acetate,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium adipate,,Growth,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium butyrate,No Growth,,,,,Growth,Growth,,Growth,No Growth,No Growth,Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,,No Growth,,No Growth,,,,Growth,No Growth,No Growth,Growth,,Growth,,,,,Growth,No Growth,,,,Growth,No Growth,,No Growth,Growth,Growth,Growth,Growth,Growth,No Growth,No Growth,
Sodium D-Lactate,Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,Growth,,Growth,,,Growth,Growth,No Growth,No Growth,Growth,,,,,,,No Growth,No Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
"Sodium D,L-Lactate",Growth,Growth,,,,Growth,Growth,,,No Growth,No Growth,Growth,,,,Growth,,No Growth,Growth,Growth,Growth,No Growth,Growth,,Growth,,Growth,,,Growth,Growth,Growth,No Growth,Growth,,,,,,,Growth,Growth,,,,Growth,Growth,,Growth,Growth,Growth,Growth,Growth,Growth,Growth,Growth,
