experimental_name,media_name,media_filename,standardized
Levulinic Acid,Levulinic Acid,Levulinic_Acid.json,levulinicacid
Malonic acid,Malonic acid,Malonic_acid.json,malonicacid
Melibiose,Melibiose,Melibiose.json,melibiose
Myristic acid,Myristic acid,Myristic_acid.json,myristicacid
N-Acetyl-D-Glucosamine,N-Acetyl-D-Glucosamine,N-Acetyl-D-Glucosamine.json,nacetyldglucosamine
Nonanoic acid,Nonanoic acid,Nonanoic_acid.json,nonanoicacid
Octanoic acid,Octanoic acid,Octanoic_acid.json,octanoicacid
Oleic acid,Oleic acid,Oleic_acid.json,oleicacid
Phenylacetic acid,Phenylacetic acid,Phenylacetic_acid.json,phenylaceticacid
Pimelic acid,Pimelic acid,Pimelic_acid.json,pimelicacid
Potassium acetate,Potassium acetate,Potassium_acetate.json,potassiumacetate
Protocatechuic Acid,Protocatechuic Acid,Protocatechuic_Acid.json,protocatechuicacid
Putrescine Dihydrochloride,Putrescine Dihydrochloride,Putrescine_Dihydrochloride.json,putrescinedihydrochloride
Sebacic acid,Sebacic acid,Sebacic_acid.json,sebacicacid
Shikimic Acid,Shikimic Acid,Shikimic_Acid.json,shikimicacid
"Sodium D,L-Lactate",Sodium DL-Lactate,Sodium_DL-Lactate.json,sodiumdllactate
Sodium D-Lactate,Sodium D-Lactate,Sodium_D-Lactate.json,sodiumdlactate
Sodium Formate,Sodium Formate,Sodium_Formate.json,sodiumformate
Sodium Fumarate dibasic,Sodium Fumarate dibasic,Sodium_Fumarate_dibasic.json,sodiumfumaratedibasic
Sodium L-Lactate,Sodium L-Lactate,Sodium_L-Lactate.json,sodiumllactate
Sodium acetate,Sodium acetate,Sodium_acetate.json,sodiumacetate
Sodium adipate,Sodium adipate,Sodium_adipate.json,sodiumadipate
Sodium butyrate,Sodium butyrate,Sodium_butyrate.json,sodiumbutyrate
Sodium octanoate,Sodium octanoate,Sodium_octanoate.json,sodiumoctanoate
Sodium propionate,Sodium propionate,Sodium_propionate.json,sodiumpropionate
Sodium pyruvate,Sodium pyruvate,Sodium_pyruvate.json,sodiumpyruvate
Sodium succinate dibasic hexahydrate,Sodium succinate dibasic hexahydrate,Sodium_succinate_dibasic_hexahydrate.json,sodiumsuccinatedibasichexahydrate
Succinic Acid,Succinic Acid,Succinic_Acid.json,succinicacid
Thymidine,Thymidine,Thymidine.json,thymidine
Trisodium citrate dihydrate,Trisodium citrate dihydrate,Trisodium_citrate_dihydrate.json,trisodiumcitratedihydrate
Uridine,Uridine,Uridine.json,uridine
Valeric acid,Valeric acid,Valeric_acid.json,valericacid
Vanillic Acid,Vanillic Acid,Vanillic_Acid.json,vanillicacid
Vanillin,Vanillin,Vanillin.json,vanillin
Xylitol,Xylitol,Xylitol.json,xylitol
a-Ketoglutaric acid disodium salt hydrate,a-Ketoglutaric acid disodium salt hydrate,a-Ketoglutaric_acid_disodium_salt_hydrate.json,aketoglutaricaciddisodiumsalthydrate
benzoic acid,benzoic acid,benzoic_acid.json,benzoicacid
m-Inositol,m-Inositol,m-Inositol.json,minositol
p-Coumaric acid,p-Coumaric acid,p-Coumaric_acid.json,pcoumaricacid
palatinose hydrate,palatinose hydrate,palatinose_hydrate.json,palatinosehydrate
